0.35 -71.6871 141.584 -85 50 1.3513e-08 2.36008e-05 2.62998e-09 -0 -69.7814 2e-05 1.1488e-14 2.08666e-08 3.05008e-09 2.62656e-09 0.660756 0.667623 0.874987 -2.43192e-05 0.000248559 -3.81023e-05 -2.88191e-06 0.000314209 -3.20033e-07 2.49167e-05 0.00633047 0.00196438 5.00185e-05 2 54.4 2.5 10 140 
0.375 -71.6877 141.583 -85 50 1.35127e-08 2.36002e-05 2.62912e-09 -0 -69.7814 2e-05 1.14863e-14 2.08659e-08 3.05006e-09 2.6257e-09 0.660756 0.667623 0.874992 -2.33442e-05 0.000249501 -3.81145e-05 -2.88187e-06 0.000314187 -3.1993e-07 2.49148e-05 0.00633045 0.00196418 5.00198e-05 2 54.4 2.5 10 140 
0.4 -71.6883 141.583 -85 50 1.35125e-08 2.35997e-05 2.6283e-09 -0 -69.7814 2e-05 1.14845e-14 2.08652e-08 3.05004e-09 2.62488e-09 0.660756 0.667623 0.874998 -2.24566e-05 0.000250357 -3.81262e-05 -2.88183e-06 0.000314166 -3.19832e-07 2.49128e-05 0.00633043 0.00196398 5.00211e-05 2 54.4 2.5 10 140 
0.425 -71.6888 141.583 -85 50 1.35123e-08 2.35991e-05 2.62752e-09 -0 -69.7814 2e-05 1.14827e-14 2.08645e-08 3.05002e-09 2.6241e-09 0.660756 0.667623 0.875003 -2.16438e-05 0.000251138 -3.81374e-05 -2.88178e-06 0.000314145 -3.19738e-07 2.49109e-05 0.00633041 0.00196379 5.00225e-05 2 54.4 2.5 10 140 
0.45 -71.6893 141.582 -85 50 1.35121e-08 2.35985e-05 2.62677e-09 -0 -69.7814 2e-05 1.14809e-14 2.08637e-08 3.05e-09 2.62336e-09 0.660756 0.667624 0.875008 -2.0896e-05 0.000251856 -3.81482e-05 -2.88174e-06 0.000314124 -3.19649e-07 2.49088e-05 0.00633038 0.0019636 5.00238e-05 2 54.4 2.5 10 140 
0.475 -71.6898 141.582 -85 50 1.35119e-08 2.35979e-05 2.62605e-09 -0 -69.7814 2e-05 1.14791e-14 2.08629e-08 3.04998e-09 2.62264e-09 0.660756 0.667624 0.875014 -2.02049e-05 0.000252517 -3.81587e-05 -2.88169e-06 0.000314104 -3.19563e-07 2.49068e-05 0.00633036 0.00196343 5.00251e-05 2 54.4 2.5 10 140 
0.5 -71.6903 141.582 -85 50 1.35116e-08 2.35973e-05 2.62536e-09 -0 -69.7814 2e-05 1.14772e-14 2.08621e-08 3.04995e-09 2.62195e-09 0.660756 0.667624 0.87502 -1.95638e-05 0.000253129 -3.81688e-05 -2.88164e-06 0.000314084 -3.1948e-07 2.49047e-05 0.00633034 0.00196326 5.00264e-05 2 54.4 2.5 10 140 
0.525 -71.6908 141.581 -85 50 1.35114e-08 2.35967e-05 2.6247e-09 -0 -69.7814 2e-05 1.14753e-14 2.08613e-08 3.04993e-09 2.62128e-09 0.660756 0.667624 0.875025 -1.89669e-05 0.000253697 -3.81786e-05 -2.88159e-06 0.000314064 -3.194e-07 2.49026e-05 0.00633031 0.00196309 5.00278e-05 2 54.4 2.5 10 140 
0.55 -71.6913 141.581 -85 50 1.35111e-08 2.3596e-05 2.62405e-09 -0 -69.7814 2e-05 1.14733e-14 2.08605e-08 3.04991e-09 2.62064e-09 0.660756 0.667624 0.875031 -1.84094e-05 0.000254226 -3.8188e-05 -2.88154e-06 0.000314044 -3.19323e-07 2.49005e-05 0.00633029 0.00196293 5.00291e-05 2 54.4 2.5 10 140 
0.575 -71.6917 141.58 -85 50 1.35109e-08 2.35954e-05 2.62343e-09 -0 -69.7814 2e-05 1.14713e-14 2.08597e-08 3.04988e-09 2.62002e-09 0.660756 0.667624 0.875037 -1.78872e-05 0.00025472 -3.81972e-05 -2.88148e-06 0.000314025 -3.19249e-07 2.48983e-05 0.00633026 0.00196278 5.00304e-05 2 54.4 2.5 10 140 
